In-sample error,Post-sample error
-43507.13973977417,
-85442.93885113602,
249994.65657916246,
58683.373568615876,
118470.23032758711,
149927.29145215638,
163124.32923125848,
-9975.216450716835,
-19957.980199429207,
205528.42429085053,
303942.0311007509,
133229.5776694431,
268133.38961182325,
257713.7090127212,
-62465.927418274805,
-163195.0326260347,
170875.61517739948,
298942.04847775726,
277227.06288405065,
302090.8803493639,
134089.14582983544,
37867.4653717014,
-79426.89064252586,
314911.91941642296,
305754.62769665243,
407918.48468117183,
404583.8951018285,
261397.09395144437,
298571.1807123844,
82385.02490229369,
218193.65654179454,
429767.4183331642,
-13776.38205145672,
408511.49919227464,
260070.644734686,
232055.23057667539,
35752.56386987516,
275778.44077627314,
236822.6604708163,
206168.5383046926,
173751.2079634408,
192786.89922006405,
24423.109515456716,
20026.03087155847,
163485.48716666084,
54645.99798568757,
179283.58183263172,
29344.50182926492,
-20729.019114329712,
-83876.91776841204,
-74925.26002033427,
138817.98313742876,
154341.3942253124,
196226.4823417808,
148099.3409319336,
49424.76100412686,
-110348.7461438335,
-195560.73158998368,
61458.823651838116,
177143.94612399093,
140298.02882626257,
221838.86375474161,
130728.2369729185,
-187946.70864364924,
-135702.2096029804,
41323.282819265965,
46525.98194327415,
122710.19680195302,
61373.34256352438,
145738.0359844747,
-100748.20857571554,
-244871.74279760337,
110263.51014695503,
126177.8845032379,
110737.33650968876,
-8213.850876508513,
33043.21374617005,
-189264.11004970758,
-278284.0628895315,
-92192.12310673273,
60151.87962751184,
50385.2847151733,
-2099.892161645228,
-110991.91114068707,
-119200.53943589586,
-243905.2742157383,
-75433.21598958038,
-59949.47414421756,
29034.564855515724,
50698.85849703918,
172425.7913889694,
-164601.77547923732,
-327337.3405130408,
-170181.30538768088,
-26676.236907755025,
119452.3751211199,
63802.90322983242,
-8686.459547708277,
-126087.69699912402,
-81416.99728402565,
82652.21770585608,
73221.1692861158,
90430.23108056537,
102703.71484738332,
-12693.21995935752,
-115683.5062513852,
-237112.41215425124,
-63740.22753744596,
51179.954986870755,
103644.61625291687,
-121996.76529352344,
-356400.0861562869,
-319546.58409517724,
-413616.8962404557,
-338438.14228022506,
-504948.7569307422,
-426688.7685786057,
-211242.34548373055,
-60909.51642961637,
-187980.30366138648,
-260987.82311512623,
100755.76350398874,
-93324.3740121515,
-87492.75681438623,
-78039.9863050778,
102683.10865444946,
-211119.77175931167,
-189934.89400537475,
-10678.753078044625,
-86358.87198282918,
160254.61599476356,
-69409.94989126292,
-35213.1517412744,
-158367.7007680242,
-348231.102868599,
-62240.39859994408,
-60383.76850501308,
10851.718380555743,
-38747.42553058802,
48678.42475519772,
-161536.49631607975,
-371848.41600259347,
-131793.89098592475,
-54415.581017868826,
-62084.38452742016,
86887.81326060486,
-55355.29555553151,
-150114.15178471105,
-286396.76462578494,
44887.0586998926,
19364.006365124602,
62488.23954373412,
-28656.556470062118,
-64579.57931828173,
-176173.4409573183,
-203526.38198221708,
-34035.24569219444,
142070.00742220925,
-47096.307574059116,
83739.70943132043,
-816.8802394086961,
-259261.37273033173,
-323587.17696145247,
78302.1700887254,
137142.86561080627,
148149.83848715434,
103421.65362926456,
122260.52199477237,
-215555.5498712929,
-332230.17781653814,
-420366.4296591326,
38819.68947361177,
106422.83733183634,
32708.88705320889,
32763.19254435762,
-70505.15599575057,
-156964.5889630674,
215575.20422888873,
247054.62222653325,
137019.30016826466,
112079.81941824919,
174691.7290980951,
-119757.74855923606,
-183888.5052394988,
14298.191504696384,
22545.231883073226,
154678.17380453832,
-10593.893813258037,
81816.29222768801,
-241272.19960385095,
-188272.5330485613,
-24242.423129118048,
54179.01100463327,
78642.70587508846,
119949.37523952196,
29057.785764608532,
-180470.78381622187,
-273869.504906771,
-125597.7417369443,
-30668.32721971115,
-62528.66084260191,
-24349.897267239867,
-22167.421395211248,
-305205.12223387766,
-387085.087397589,
-145653.28576310165,
-37915.70629157266,
-42425.58643283113,
-187370.1070548345,
-161040.45408994146,
-358150.61527772376,
-300368.0734291633,
11209.25054364698,
-113081.20449836412,
-182967.69390737405,
-120232.43674915633,
-86868.00633731042,
-338932.68726817484,
-338180.8981483984,
-86222.14166751015,
-159982.2793646336,
-391455.3973048454,
-93486.86889708112,
-144664.43499655626,
-232666.9882988059,
-304568.4746290101,
28895.92502120696,
41820.391282914905,
152157.8776395903,
121488.92298035533,
157870.27129986417,
-224211.9487184037,
-283236.87910982873,
-30884.695995683083,
-32973.80094631505,
117691.66179452557,
9021.932332048891,
2.0209699869155884e-07,
-155053.63126807776,
-296642.2712766647,
41346.41294026538,
125453.18805975257,
1920.372773386538,
32876.12972638756,
-87074.83916506427,
-192613.16317440034,
-282007.04272880335,
-86710.69324348657,
77271.46135617234,
126264.98919954756,
5310.580086945789,
502.4798628229182,
-164783.94718492893,
-233383.7866860223,
