ID;DAN;LETO;DAN_V_TEDNU;TEDEN;DAN_V_MESECU;DATUM;PRA_DAN;PRA_PRED;PRA_NASL;PRA;BDP1;BDP2;BDP3;URA_VEC;URA_MANJ;MIN_VREDNOST;MAX_VREDNOST;STEVEC;MIN_PRET_TED;MAX_PRET_TED;TEMP_MIN;TEMP_MAX;MIN_VRED_LM1;MAX_VRED_LM1;PMIN_VRED_LM1;PMAX_VRED_LM1;RPMIN_VRED_LM1;RPMAX_VRED_LM1
4394;7;2012;6;1;7;7.01.2012;0;0;0;0;8665;-0,4;-0,2;0;0;910799,2196;1341292,08;24;768580,19;1356135,171;-3,54;6,96;918009,3016;1463812,453;878865,7527;1353361,412;881102,8285;1356806,275
4395;8;2012;7;1;8;8.01.2012;0;0;0;0;8665;-0,4;-0,2;0;0;808978,4955;1299347,85;24;732239,0154;1097273,92;-3,06;7,98;806878,5555;1322471,904;789675,0528;1302986,299;791685,1015;1306302,937
4396;9;2012;1;2;9;9.01.2012;0;0;0;0;8665;-0,4;-0,2;0;0;865185,6994;1634799,22;24;723862,6649;1239909,445;-3,18;9,12;856517,9152;1618444,884;859635,1201;1633467,73;861823,2461;1637625,579
4397;10;2012;2;2;10;10.01.2012;0;0;0;0;8665;-0,4;-0,2;0;0;857762,438;1443480,83;24;672229,402;1358702,237;-2,58;9,3;848380,3675;1454486,136;864111,9607;1466199,363;866311,482;1469931,445
4398;11;2012;3;2;11;11.01.2012;0;0;0;0;8665;-0,4;-0,2;0;0;903202,2384;1503269,95;24;835758,4576;1443534,884;-3,6;8,68;884622,8336;1490064,426;902562,9037;1520159,84;904860,2986;1524029,274
4399;12;2012;4;2;12;12.01.2012;0;0;0;0;8665;-0,4;-0,2;0;0;922446,783;1534728,35;24;878952,6;1487430,585;-4,56;8,3;907171,371;1511087,607;932360,967;1548785,289;934734,2102;1552727,586
4400;13;2012;5;2;13;13.01.2012;0;0;0;0;8665;-0,4;-0,2;0;0;928804,0216;1547925,17;24;892846,2725;1492241,014;-2,96;8,24;904573,4607;1507163,094;930462,0507;1551439,259;932830,4604;1555388,312
4401;14;2012;6;2;14;14.01.2012;0;0;0;0;8665;-0,4;-0,2;0;0;914522,1774;1374819,95;24;901109,8662;1327023,017;-4,74;6,98;897183,8433;1381073,65;918084,2169;1433920,934;920421,1199;1437570,854
4402;15;2012;7;2;15;15.01.2012;0;0;0;0;8665;-0,4;-0,2;0;0;861771,068;1364832,93;24;826375,8825;1327290,819;-7,94;5,68;815928,7325;1321204,15;839196,2908;1358865,459;841332,3915;1362324,332
4403;16;2012;1;3;16;16.01.2012;0;0;0;0;8665;-0,4;-0,2;0;0;853452,054;1590328,48;24;811669,0582;1533677,618;-8,76;2,96;814671,3484;1529527,718;824173,2287;1544803,976;826271,0895;1548736,139
4404;17;2012;2;3;17;17.01.2012;0;0;0;0;8665;-0,4;-0,2;0;0;1015654,541;1688749,22;24;968766,9888;1630284,23;-7,94;4,86;967835,328;1634095,402;984339,568;1657967,114;986845,1182;1662187,324
4405;18;2012;3;3;18;18.01.2012;0;0;0;0;8665;-0,4;-0,2;0;0;915269,9976;1518029,44;24;892938,5766;1486187,34;-5,2;6,02;877843,7112;1496381,948;891142,1803;1497598,071;893410,5047;1501410,076
4406;19;2012;4;3;19;19.01.2012;0;0;0;0;8665;-0,4;-0,2;0;0;1003962,945;1652940,72;24;973693,8265;1619991,034;-4,72;5,18;969952,337;1636839,313;976884,9588;1632427,614;979371,534;1636582,815
4407;20;2012;5;3;20;20.01.2012;0;0;0;0;8665;-0,4;-0,2;0;0;965289,8258;1642521,03;24;959423,9344;1598955,67;-1,9;5,7;968734,5592;1637129,897;967729,6459;1613122,269;970192,917;1617228,33
